Name,Registers/Thread,Static Shared Memory,gst uncoalesced,gst coalesced,gld uncoalesced,gld coalesced,gld 32B,gld request,gld 128B,gld 64B,divergent branch,branch,sm cta launched,cta launched,warp serialize,instructions,gst 32B,gst 64B,gst 128B,gld total,local store,local load,gst total,gst request,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,102804063,25408,,,,,,,,123904,4876574307
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,102934239,24896,,,,,,,,123904,4976863753
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,7744,0,1022208,1022208,681472,0,0,0,175308,0,1,0,1893586,3872,0,0,1022208,0,0,1022208,1936,102963231,49859744,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,154417078,26335,,,,,,,,123904,4704917410
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,198547596,88448,,,,,,,,495616,5603473227
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,198814284,87840,,,,,,,,495616,5642258652
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,30976,0,8177664,8177664,5451776,0,0,0,1382492,0,1,0,15068110,15488,0,0,8177664,0,0,8177664,7744,198906188,398426496,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,598172576,90907,,,,,,,,495616,5451901393
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,644504638,195104,,,,,,,,1115136,5715597835
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,645034206,194304,,,,,,,,1115136,5739130434
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,69696,0,27599616,27599616,18399744,0,0,0,4643772,0,1,0,50767994,34848,0,0,27599616,0,0,27599616,17424,645232670,1345354816,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,1992066262,201301,,,,,,,,1115136,5539644611
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2039721532,25472,,,,,,,,123904,4864321608
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2039826268,24736,,,,,,,,123904,5009055627
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,7744,0,681472,0,0,0,0,0,175432,0,1,0,1895000,0,1936,0,681472,0,0,681472,1936,2039855100,13156256,1,1,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2053118512,25247,,,,,,,,123904,4907672198
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2102145577,88512,,,,,,,,495616,5599421547
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2102386441,87872,,,,,,,,495616,5640203932
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,30976,0,5451776,2725888,5451776,0,2725888,0,1382704,0,1,0,15070536,0,7744,0,5451776,0,0,5451776,7744,2102478377,104407840,1,1,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2207585418,91004,,,,,,,,495616,5446090281
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2255012699,195680,,,,,,,,1115136,5698773507
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2255493851,194720,,,,,,,,1115136,5726869350
