Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"Memcpy HtoD [sync]",52113333,30176,,,,,,,,,,123904,4106044538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",52282901,29792,,,,,,,,,,123904,4158968850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",52316181,37068576,1,1,1,8,8,1,17,32,0,,,13,5,18,893754868,100,3381440,1022208,0,968,1022208,0,3872,1,1,0,0,0,0,0,7744,1022208,0,1022208,340736,0,0,0,0,0,0,0,1218890,0,175308,0,0,0,0
"Memcpy DtoH [sync]",89471893,29536,,,,,,,,,,123904,4195016251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",137092009,110848,,,,,,,,,,495616,4471131639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",137417545,109440,,,,,,,,,,495616,4528654970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",137530473,293198976,1,1,1,8,8,1,17,32,0,,,13,5,18,892885675,100,1692168,8177664,0,3872,8177664,0,15488,1,1,0,0,0,0,0,30976,8177664,0,8177664,2725888,0,0,0,0,0,0,0,9643438,0,1382492,0,0,0,0
"Memcpy DtoH [sync]",432018441,109504,,,,,,,,,,495616,4526008182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",486418602,243808,,,,,,,,,,1115136,4573828586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",487029994,212320,,,,,,,,,,1115136,5252147701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",487245802,988727520,1,1,1,8,8,1,17,32,0,,,13,5,18,893698811,100,1128936,27599616,0,8712,27599616,0,34848,1,1,0,0,0,0,0,69696,27599616,0,27599616,9199872,0,0,0,0,0,0,0,32429234,0,4643772,0,0,0,0
"Memcpy DtoH [sync]",1477236778,242944,,,,,,,,,,1115136,4590094836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1533460924,30304,,,,,,,,,,123904,4088701161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1534496540,30368,,,,,,,,,,123904,4080084299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1534530396,9419776,1,1,1,16,16,1,17,32,0,,,27,27,3469816700,100,13125601,681472,0,968,681472,1936,0,1,1,0,0,0,340736,0,7744,681472,0,340736,340736,0,0,0,0,0,0,0,1220304,0,175432,0,0,0,0
"Memcpy DtoH [sync]",1544074428,29248,,,,,,,,,,123904,4236323851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1590741412,109920,,,,,,,,,,495616,4508879184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1591062948,109088,,,,,,,,,,495616,4543267820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1591175524,75047232,1,1,1,16,16,1,17,32,0,,,27,27,3488956516,100,6615018,5451776,0,3872,5451776,7744,0,1,1,0,0,0,2725888,0,30976,5451776,0,2725888,2725888,0,0,0,0,0,0,0,9645864,0,1382704,0,0,0,0
"Memcpy DtoH [sync]",1667277124,109408,,,,,,,,,,495616,4529979526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1721804675,243520,,,,,,,,,,1115136,4579237844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1722389443,212320,,,,,,,,,,1115136,5252147701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1722605347,252611488,1,1,1,16,16,1,17,32,0,,,27,27,3496853991,100,4419760,18399744,0,8712,18399744,17424,0,1,1,0,0,0,9199872,0,69696,18399744,0,9199872,9199872,0,0,0,0,0,0,0,32432672,0,4644072,0,0,0,0
"Memcpy DtoH [sync]",1976335331,243040,,,,,,,,,,1115136,4588281764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2030525602,30080,,,,,,,,,,123904,4119148936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2030647874,29888,,,,,,,,,,123904,4145610278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",2030681250,5282976,1,1,1,22,22,1,17,32,0,,,13,88,17,678,11179430393,100,45295530,1101056,0,1024,1101808,1192,2040,1,1,0,0,188672,170368,0,14864,1101056,752,742016,360448,0,0,0,0,0,0,0,1292192,0,185696,0,0,0,0
"Memcpy DtoH [sync]",2036051874,29344,,,,,,,,,,123904,4222464558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2081831568,110656,,,,,,,,,,495616,4478889531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
